fold,model,wrmsse,first28_wrmsse,second28_wrmsse
recent_2025,recent28_sunday0,0.5671544459095139,0.500563389037773,0.5422567858968468
recent_2025,recent21_28_56_w25_50_25_sunday0,0.568034400254371,0.5024192294253408,0.5427571214390815
recent_2025,recent21_28_56_w35_45_20_sunday0,0.5681964920859409,0.5022461653884887,0.5431216552490272
recent_2025,recent21_28_w50_50_sunday0,0.5685009077345261,0.5014030999572797,0.5439796751588262
recent_2025,recent18_21_28_w35_50_15_sunday0,0.5699914106430165,0.5020762816868077,0.5469107203180859
recent_2025,recent14_18_21_w20_45_35_sunday0,0.5708160195288218,0.5030058930003107,0.5480050912443559
recent_2025,recent21_sunday0,0.5710013794871047,0.5034081787490171,0.5466471089205429
recent_2025,recent18_sunday0,0.5717523133362654,0.5028349978694031,0.5508483140260436
recent_2025,recent14_sunday0,0.5728571798594773,0.5072067016185398,0.5472998135582908
recent_2025,recent56_sunday0,0.5732519817784558,0.511024441210576,0.5450990276740091
recent_2025,recent84_sunday0,0.575933082309433,0.5136141556028537,0.5482749574284275
recent_2025,zero,0.665584499539824,0.6087332938602581,0.6061961930655195
seasonal_2024,recent84_sunday0,0.7402716598724741,0.6481517918641725,0.7061195446670248
seasonal_2024,recent56_sunday0,0.7453966666476814,0.6528837493324495,0.7126915294962654
seasonal_2024,recent21_28_56_w25_50_25_sunday0,0.7464637242721476,0.6526199611254119,0.7146486662510159
seasonal_2024,recent21_28_56_w35_45_20_sunday0,0.7469953680886429,0.6527187730831507,0.7153620197850411
seasonal_2024,recent28_sunday0,0.7486340175939676,0.6558924268333578,0.7164408888202669
seasonal_2024,recent21_28_w50_50_sunday0,0.749229982763417,0.6543052055927799,0.7179087487109915
seasonal_2024,recent18_21_28_w35_50_15_sunday0,0.7504864808989584,0.6543298391383509,0.7197319557724265
seasonal_2024,recent18_sunday0,0.7512379516322145,0.6548532123035895,0.7207960709559218
seasonal_2024,recent14_18_21_w20_45_35_sunday0,0.7516932801725495,0.6552746437161383,0.7206941351904278
seasonal_2024,recent21_sunday0,0.7519713880766675,0.6552127747555938,0.721248490058596
seasonal_2024,recent14_sunday0,0.7568154736602672,0.6609647341680274,0.7232481531616404
seasonal_2024,zero,0.8971165611918634,0.7977023869860534,0.8554226235703668
