family_name,group_name,n_days,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,weight_sum,weighted_contribution,model,fold
weekday,Friday,8,12085.0,10762.285714285712,-1322.714285714288,0.8905490868254623,0.49588576426721354,1.0,0.49588576426721354,recent28_sunday0,recent_2025
weekday,Friday,8,12085.0,10592.57142857143,-1492.4285714285706,0.8765057036467877,0.4963683586045986,1.0,0.4963683586045986,recent21_28_w50_50_sunday0,recent_2025
weekday,Friday,8,12085.0,10707.0,-1378.0,0.8859743483657426,0.4963719973178993,1.0,0.4963719973178993,recent21_28_56_w35_45_20_sunday0,recent_2025
weekday,Friday,8,12085.0,10756.82142857143,-1328.1785714285706,0.8900969324428158,0.496376067496919,1.0,0.496376067496919,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Friday,8,12085.0,10422.857142857143,-1662.1428571428569,0.8624623204681128,0.49801137528262107,1.0,0.49801137528262107,recent21_sunday0,recent_2025
weekday,Friday,8,12085.0,10881.726984126986,-1203.2730158730137,0.9004325183390142,0.49867445142859623,1.0,0.49867445142859623,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Friday,8,12085.0,11158.800000000001,-926.1999999999989,0.9233595366156393,0.4998086342636122,1.0,0.4998086342636122,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Friday,8,12085.0,11480.0,-605.0,0.9499379395945386,0.5006675394677024,1.0,0.5006675394677024,recent14_sunday0,recent_2025
weekday,Friday,8,12085.0,11079.857142857143,-1005.1428571428569,0.9168272356522253,0.5018769732276687,1.0,0.5018769732276687,recent56_sunday0,recent_2025
weekday,Friday,8,12085.0,11588.444444444445,-496.55555555555475,0.9589114145175379,0.5028642796976549,1.0,0.5028642796976549,recent18_sunday0,recent_2025
weekday,Friday,8,12085.0,11341.761904761905,-743.2380952380954,0.9384991232736372,0.5032097486314058,1.0,0.5032097486314058,recent84_sunday0,recent_2025
weekday,Friday,8,12085.0,0.0,-12085.0,0.0,0.5799540132046996,1.0,0.5799540132046996,zero,recent_2025
weekday,Monday,8,11208.0,10762.285714285712,-445.71428571428805,0.960232486999082,0.49045200378799303,1.0,0.49045200378799303,recent28_sunday0,recent_2025
weekday,Monday,8,11208.0,10592.57142857143,-615.4285714285706,0.9450902416641176,0.4918907553085411,1.0,0.4918907553085411,recent21_28_w50_50_sunday0,recent_2025
