bucket_name,bucket_label,sku_count,weight_sum,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,mean_rmsse,mean_weighted_rmsse,family_name,model,fold
activity,active_days 11-50,3828,0.13143600426595053,8193.0,0.0,-8193.0,0.0,0.05415810858901838,0.38871518866916394,1.4147886256274394e-05,activity,zero,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,7995.4285714285725,-197.57142857142753,0.9758853376575823,0.05693170517781,0.4127299196107177,1.4872441269020377e-05,activity,recent28_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,8330.000000000002,137.00000000000102,1.0167215916025878,0.05701300994054226,0.41274651685323444,1.4893680757717414e-05,activity,recent21_28_56_w25_50_25_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,8250.4,57.400000000000716,1.0070059807152447,0.05703153499306538,0.41286777160374033,1.4898520113130977e-05,activity,recent21_28_56_w35_45_20_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,7953.142857142859,-239.8571428571409,0.9707241373297765,0.05706850636317851,0.4132838327857582,1.490817825579376e-05,activity,recent21_28_w50_50_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,7910.857142857143,-282.1428571428563,0.9655629370019704,0.05730037965148885,0.4145368733968537,1.4968751215122478e-05,activity,recent21_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,9418.285714285714,1225.2857142857151,1.1495527540932153,0.05736199650991915,0.41437739060240825,1.4984847573124125e-05,activity,recent56_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,8246.876190476192,53.87619047619148,1.0065758806879277,0.05742770902120743,0.4157834977648584,1.5002013850890134e-05,activity,recent18_21_28_w35_50_15_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,10961.714285714286,2768.714285714286,1.3379365660581333,0.057570899484885314,0.4157630894923381,1.503941992813096e-05,activity,recent84_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,8323.599999999999,130.5999999999986,1.0159404369583789,0.05766144304409936,0.417163959644405,1.506307289553275e-05,activity,recent14_18_21_w20_45_35_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,8834.666666666668,641.6666666666667,1.0783188901094432,0.05793554170921508,0.419737266114642,1.5134676517558798e-05,activity,recent18_sunday0,recent_2025
activity,active_days 11-50,3828,0.13143600426595053,8193.0,7896.000000000002,-296.99999999999784,0.9637495422922009,0.058002826271562016,0.41848610810115944,1.5152253466970223e-05,activity,recent14_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,0.0,-2751.0,0.0,0.012865482450037349,0.40573518651389245,3.7410533440062077e-06,activity,zero,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2648.4285714285716,-102.5714285714288,0.9627148569351405,0.013715586164358858,0.4302164735920651,3.988248375794957e-06,activity,recent84_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2396.214285714286,-354.7857142857142,0.8710339097471049,0.013772938906466334,0.4308802581589581,4.004925532557817e-06,activity,recent21_28_56_w25_50_25_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2393.628571428572,-357.37142857142817,0.8700939917951915,0.013774162629419804,0.43082599385820214,4.005281369415471e-06,activity,recent21_28_56_w35_45_20_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2382.5714285714294,-368.4285714285706,0.8660746741444673,0.013788561190040413,0.4311826638530125,4.009468214609018e-06,activity,recent21_28_w50_50_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2438.5714285714294,-312.4285714285708,0.8864309082411593,0.013791506186352711,0.43116232510037683,4.01032456712786e-06,activity,recent56_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2381.142857142858,-369.8571428571422,0.8655553824583271,0.01379806780611719,0.4320350148255526,4.012232569385632e-06,activity,recent28_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2384.000000000001,-366.9999999999992,0.8665939658306074,0.013804795767381438,0.4310738517377378,4.014188940791345e-06,activity,recent21_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2503.0380952380956,-247.9619047619047,0.909864811064375,0.013852075650518257,0.43261752556023625,4.027937089420837e-06,activity,recent18_21_28_w35_50_15_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2548.3428571428562,-202.6571428571439,0.9263332814041644,0.013911410391593411,0.4339091079957697,4.0451905762121e-06,activity,recent14_18_21_w20_45_35_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2725.333333333333,-25.66666666666721,0.9906700593723493,0.013972410908477676,0.4358907220231927,4.062928440964721e-06,activity,recent18_sunday0,recent_2025
activity,active_days 4-10,3439,0.0355831652207224,2751.0,2437.7142857142867,-313.2857142857133,0.8861193332294753,0.0140065813962825,0.4359992191057508,4.0728646107247745e-06,activity,recent14_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,0.0,-2466.0,0.0,0.0036379714028750253,189.77259291390732,5.542308657640197e-07,activity,zero,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,801.5714285714287,-1664.4285714285713,0.32504924110763533,0.003861862296591115,189.78625549417416,5.883397770553192e-07,activity,recent84_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1004.571428571429,-1461.428571428571,0.4073687869308309,0.003924174236396995,189.79106641872445,5.978327599629791e-07,activity,recent56_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1078.8571428571431,-1387.1428571428573,0.43749275866064197,0.003985318056154652,189.7966828766875,6.0714778430144e-07,activity,recent21_28_56_w25_50_25_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1091.8571428571431,-1374.1428571428569,0.44276445371335893,0.00398999756589784,189.79716306649865,6.078606895030225e-07,activity,recent21_28_56_w35_45_20_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1378.2857142857151,-1087.7142857142849,0.5589155370177271,0.0040029354483304734,189.80501203478448,6.098317258273117e-07,activity,recent14_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1071.4285714285722,-1394.571428571428,0.43448036148766106,0.004007169062824115,189.79850424071006,6.104767006130584e-07,activity,recent28_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1119.7142857142862,-1346.2857142857138,0.4540609431120382,0.004008578180589748,189.79893025412503,6.106913742519421e-07,activity,recent21_28_w50_50_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1168.0,-1298.0,0.47364152473641524,0.004012488377130734,189.7995895006112,6.112870775640972e-07,activity,recent21_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1216.0476190476193,-1249.9523809523807,0.49312555516935086,0.0040258163227544575,189.80091207573196,6.133175385061635e-07,activity,recent18_21_28_w35_50_15_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1290.4571428571426,-1175.5428571428577,0.5232997335187115,0.004028494009799127,189.80256594267576,6.137254737658634e-07,activity,recent14_18_21_w20_45_35_sunday0,recent_2025
activity,active_days <= 3,6564,0.016297445194539417,2466.0,1346.666666666666,-1119.3333333333337,0.5460935387942685,0.004055647658769399,189.80410587414747,6.178622271129493e-07,activity,recent18_sunday0,recent_2025
activity,active_days > 50,2141,0.8166833853187876,59721.0,53125.714285714275,-6595.285714285721,0.8895650489059841,0.4924175038627625,0.47401652938381195,0.00022999416341091197,activity,recent28_sunday0,recent_2025
