fold,model,ItemCode,profit_rank,weight,scale,actual_total,pred_total,signed_bias,rmsse,weighted_rmsse,active_days,days_since_last_sale,total_profit,positive_profit,zero_scale_flag
recent_2025,recent21_sunday0,SKU-06547,13504,2.3472950899036694e-07,0.01885680612846199,0.0,0.0,0.0,0.0,0.0,1,116,39200.0,39200.0,0
recent_2025,recent21_sunday0,SKU-06546,536,0.00031215634650713197,3.981143193871538,0.0,0.0,0.0,0.0,0.0,280,119,52130338.6,52130338.6,0
recent_2025,recent21_sunday0,SKU-06545,6553,9.162600515464512e-06,0.014142604596346494,0.0,0.0,0.0,0.0,0.0,2,1028,1530161.0,1530161.0,0
recent_2025,recent21_sunday0,SKU-06173,9917,2.5158751885415727e-06,0.008249852681202121,0.0,0.0,0.0,0.0,0.0,7,209,420153.0,420153.0,0
recent_2025,recent21_sunday0,SKU-06136,11859,9.608820114455665e-07,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0,1,346,160468.0,160468.0,0
recent_2025,recent21_sunday0,SKU-06137,11864,9.5807962853211e-07,0.004714201532115498,0.0,0.0,0.0,0.0,0.0,2,135,160000.0,160000.0,0
recent_2025,recent21_sunday0,SKU-06138,9517,2.9876695256168535e-06,0.004714201532115498,0.0,0.0,0.0,0.0,0.0,3,529,498943.0,498943.0,0
recent_2025,recent21_sunday0,SKU-06139,6921,8.037970360227591e-06,0.007071302298173247,0.0,0.0,0.0,0.0,0.0,6,155,1342346.94,1342346.94,0
recent_2025,recent21_sunday0,SKU-06140,10630,1.8410858140117941e-06,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0,1,1018,307462.68000000005,307462.68000000005,0
recent_2025,recent21_sunday0,SKU-06141,10875,1.6305291330891062e-06,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0,1,134,272299.56,272299.56,0
recent_2025,recent21_sunday0,SKU-06143,12265,7.425117121123853e-07,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0,1,211,124000.0,124000.0,0
recent_2025,recent21_sunday0,SKU-06146,12259,7.469727703827379e-07,0.0035356511490866236,0.0,0.0,0.0,0.0,0.0,2,232,124745.0,124745.0,0
recent_2025,recent21_sunday0,SKU-06147,11549,1.1499829781270917e-06,0.0011785503830288745,0.0,0.0,0.0,0.0,0.0,1,358,192048.0,192048.0,0
recent_2025,recent21_sunday0,SKU-06148,11141,1.43441885584524e-06,0.002357100766057749,0.0,0.0,0.0,0.0,0.0,2,1001,239549.0,239549.0,0
recent_2025,recent21_sunday0,SKU-06149,7240,7.15477052290299e-06,0.06717737183264584,0.0,0.0,0.0,0.0,0.0,4,715,1194851.92,1194851.92,0
