bucket_name,bucket_label,sku_count,weight_sum,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,mean_rmsse,mean_weighted_rmsse,family_name,model,fold
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,25004.571428571424,852.5714285714207,1.0353002413287273,0.27216821073834363,0.4676523136900429,0.0027216821073834364,profit_rank,recent28_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,24496.642857142855,344.6428571428534,1.0142697440022712,0.27306559587031093,0.4691422772260136,0.0027306559587031093,profit_rank,recent21_28_56_w25_50_25_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,24183.542857142867,31.542857142863454,1.0013060142904466,0.27323664187333363,0.4686126616663686,0.002732366418733336,profit_rank,recent21_28_56_w35_45_20_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,23622.285714285706,-529.7142857142949,0.9780674774050061,0.2734151719982803,0.4673847333877438,0.002734151719982803,profit_rank,recent21_28_w50_50_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,24496.0,343.99999999999636,1.0142431268631997,0.27353251245569765,0.46908309646469654,0.0027353251245569765,profit_rank,recent18_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,25937.142857142855,1785.1428571428553,1.07391283774192,0.2735948785260513,0.46821576198059084,0.002735948785260513,profit_rank,recent14_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,23994.628571428577,-157.37142857142538,0.993484124355274,0.2736108200398118,0.46778379560121125,0.002736108200398118,profit_rank,recent14_18_21_w20_45_35_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,23444.28571428572,-707.7142857142835,0.970697487342072,0.27376484246905725,0.4675617739033428,0.0027376484246905723,profit_rank,recent18_21_28_w35_50_15_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,22240.00000000001,-1911.9999999999916,0.9208347134812856,0.2751814354863374,0.46818245341069065,0.002751814354863374,profit_rank,recent21_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,25737.428571428576,1585.4285714285768,1.065643779870345,0.2760259302397854,0.48361380479445887,0.002760259302397854,profit_rank,recent56_sunday0,recent_2025
profit_rank,rank_001_100,100,0.3978700913579021,24152.0,25241.142857142848,1089.142857142854,1.0450953485070738,0.2773339518431115,0.4821488963747757,0.002773339518431115,profit_rank,recent84_sunday0,recent_2025
