fold,model,wrmsse_full56,wrmsse_first28,wrmsse_second28
recent_2025,baseline_v1,0.5892320943666405,0.5304228644368046,0.5643596962703616
seasonal_2024,baseline_v1,0.753451080472963,0.6611441848265287,0.7262940746721616
seasonal_2023,baseline_v1,0.8165782164719191,0.6456654384060494,0.8347668397028323
