rank_bucket,sku_count,weight_sum,wrmsse_contribution,avg_rmsse
rank_001_100,100,0.3978700913579021,0.2763718251506797,0.49602440090130206
rank_101_500,400,0.23590526527043745,0.13888274912257206,0.5911873316970389
rank_501_1000,500,0.1140964993953735,0.06218085041471942,0.5297650679683477
rank_2001_plus,13972,0.1468645327654647,0.06145599838494729,89.3994765040267
rank_1001_2000,1000,0.10526361121082217,0.05034067129372199,0.47150018982794545
